Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Valor,NACIONALITAT_CONTINENT,EDAT_Q,SEXE
2023-01-01,1,Ciutat Vella,1,el Raval,46,1,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,49,1,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,30,1,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,34,1,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,14,1,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,23,1,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,19,1,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,58,1,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,82,1,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,152,1,4,2
2023-01-01,1,Ciutat Vella,1,el Raval,79,1,5,1
2023-01-01,1,Ciutat Vella,1,el Raval,185,1,5,2
2023-01-01,1,Ciutat Vella,1,el Raval,74,1,6,1
2023-01-01,1,Ciutat Vella,1,el Raval,167,1,6,2
2023-01-01,1,Ciutat Vella,1,el Raval,92,1,7,1
2023-01-01,1,Ciutat Vella,1,el Raval,147,1,7,2
2023-01-01,1,Ciutat Vella,1,el Raval,56,1,8,1
2023-01-01,1,Ciutat Vella,1,el Raval,140,1,8,2
2023-01-01,1,Ciutat Vella,1,el Raval,64,1,9,1
2023-01-01,1,Ciutat Vella,1,el Raval,114,1,9,2
2023-01-01,1,Ciutat Vella,1,el Raval,49,1,10,1
2023-01-01,1,Ciutat Vella,1,el Raval,85,1,10,2
2023-01-01,1,Ciutat Vella,1,el Raval,40,1,11,1
2023-01-01,1,Ciutat Vella,1,el Raval,51,1,11,2
2023-01-01,1,Ciutat Vella,1,el Raval,23,1,12,1
2023-01-01,1,Ciutat Vella,1,el Raval,30,1,12,2
2023-01-01,1,Ciutat Vella,1,el Raval,14,1,13,1
2023-01-01,1,Ciutat Vella,1,el Raval,25,1,13,2
2023-01-01,1,Ciutat Vella,1,el Raval,11,1,14,1
2023-01-01,1,Ciutat Vella,1,el Raval,18,1,14,2
2023-01-01,1,Ciutat Vella,1,el Raval,10,1,15,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,15,2
2023-01-01,1,Ciutat Vella,1,el Raval,9,1,16,1
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,16,2
2023-01-01,1,Ciutat Vella,1,el Raval,..,1,17,1
2023-01-01,1,Ciutat Vella,1,el Raval,48,2,0,1
2023-01-01,1,Ciutat Vella,1,el Raval,43,2,0,2
2023-01-01,1,Ciutat Vella,1,el Raval,52,2,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,60,2,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,49,2,2,1
2023-01-01,1,Ciutat Vella,1,el Raval,46,2,2,2
2023-01-01,1,Ciutat Vella,1,el Raval,60,2,3,1
2023-01-01,1,Ciutat Vella,1,el Raval,51,2,3,2
2023-01-01,1,Ciutat Vella,1,el Raval,165,2,4,1
2023-01-01,1,Ciutat Vella,1,el Raval,128,2,4,2
